James Harden;2;38,1;29;0,761154856
Kyle Lowry;1;37;21,2;0,572972973
Jimmy Butler;2;36,9;20,9;0,566395664
Kentavious Caldwell-Pope;2;36,7;14,5;0,395095368
John Wall;1;36,2;19,9;0,549723757
Gordon Hayward;3;36,2;19,7;0,544198895
Khris Middleton;2;36,1;18,2;0,504155125
DeMar DeRozan;2;35,9;23,5;0,6545961
Kevin Durant;3;35,8;28,2;0,787709497
Damian Lillard;1;35,7;25,1;0,703081232
Marcus Morris;4;35,7;14,1;0,394957983
LeBron James;3;35,6;25,3;0,710674157
Kemba Walker;1;35,6;20,9;0,587078652
Anthony Davis;4;35,5;24,3;0,684507042
Giannis Antetokounmpo;3;35,3;16,9;0,478753541
Trevor Ariza;3;35,3;12,7;0,359773371
Rajon Rondo;1;35,2;11,9;0,338068182
Andrew Wiggins;3;35,1;20,7;0,58974359
Carmelo Anthony;3;35,1;21,8;0,621082621
Nicolas Batum;2;35;14,9;0,425714286
Paul George;3;34,8;23,1;0,663793103
Draymond Green;4;34,7;14;0,403458213
CJ McCollum;2;34,7;20,8;0,599423631
DeMarcus Cousins;5;34,6;26,9;0,777456647
Russell Westbrook;1;34,4;23,5;0,683139535
Stephen Curry;1;34,2;30,1;0,880116959
George Hill;1;34,1;12,1;0,35483871
Rudy Gay;3;34;17,2;0,505882353
Wesley Matthews;2;33,9;12,5;0,368731563
Monta Ellis;2;33,8;13,8;0,408284024
DeAndre Jordan;5;33,7;12,7;0,376854599
Brook Lopez;5;33,7;20,6;0,611275964
Avery Bradley;1;33,4;15,2;0,45508982
Arron Afflalo;2;33,4;12,8;0,383233533
Joe Johnson;3;33,4;12,2;0,365269461
Klay Thompson;2;33,3;22,1;0,663663664
Kawhi Leonard;3;33,1;21,2;0,640483384
Tobias Harris;3;33,1;14,7;0,444108761
Victor Oladipo;2;33;16;0,484848485
Thaddeus Young;4;33;15,1;0,457575758
Andre Drummond;5;32,9;16,2;0,492401216
Goran Dragic;1;32,8;14,1;0,429878049
Paul Millsap;4;32,7;17,1;0,52293578
Chris Paul;1;32,7;19,5;0,596330275
Evan Fournier;2;32,5;15,4;0,473846154
Luol Deng;3;32,4;12,3;0,37962963
Deron Williams;1;32,4;14,1;0,435185185
Jordan Clarkson;1;32,3;15,5;0,479876161
Rodney Hood;2;32,2;14,5;0,450310559
Isaiah Thomas;1;32,2;22,2;0,689440994
Serge Ibaka;4;32,1;12,6;0,392523364
Dwight Howard;5;32,1;13,7;0,426791277
Al Horford;5;32,1;15,2;0,473520249
Gary Harris;2;32,1;12,3;0,38317757
Karl-Anthony Towns;4;32;18,3;0,571875
Derrick Favors;4;32;16,4;0,5125
Pau Gasol;4;31,8;16,5;0,518867925
Derrick Rose;1;31,8;16,4;0,51572327
Rudy Gobert;5;31,7;9,1;0,287066246
Jabari Parker;4;31,7;14,1;0,444794953
Jae Crowder;3;31,6;14,2;0,449367089
Dirk Nowitzki;4;31,5;18,3;0,580952381
Kevin Love;4;31,5;16;0,507936508
Nikola Vucevic;5;31,3;18,2;0,581469649
PJ Tucker;3;31;8;0,258064516
Harrison Barnes;3;30,9;11,7;0,378640777
J.R. Smith;2;30,7;12,4;0,403908795
Reggie Jackson;1;30,7;18,8;0,61237785
LaMarcus Aldridge;4;30,6;18;0,588235294
Ricky Rubio;1;30,6;10,1;0,330065359
Dwyane Wade;2;30,5;19;0,62295082
Emmanuel Mudiay;1;30,4;12,8;0,421052632
Ryan Anderson;4;30,4;17;0,559210526
Otto Porter;3;30,3;11,6;0,382838284
Marcin Gortat;5;30,1;13,5;0,448504983
Kyle Korver;2;30;9,2;0,306666667
Darren Collison;1;30;14;0,466666667
Zach Randolph;4;29,7;15,3;0,515151515
Courtney Lee;2;29,6;9,6;0,324324324
Chandler Parsons;3;29,5;13,7;0,46440678
Elfrid Payton;1;29,4;10,7;0,363945578
Nerlens Noel;4;29,3;11,1;0,37883959
Greg Monroe;5;29,3;15,3;0,5221843
Hassan Whiteside;5;29,1;14,2;0,487972509
Ish Smith;1;29,1;12,6;0,432989691
Marvin Williams;4;28,9;11,7;0,404844291
Matt Barnes;3;28,8;10;0,347222222
Will Barton;3;28,7;14,4;0,50174216
Patrick Beverley;1;28,7;9,9;0,344947735
Justise Winslow;3;28,6;6,4;0,223776224
Al-Farouq Aminu;3;28,5;10,2;0,357894737
Jeff Teague;1;28,5;15,7;0,550877193
Lou Williams;2;28,5;15,3;0,536842105
Kristaps Porzingis;4;28,4;14,3;0,503521127
Robert Covington;3;28,4;12,8;0,450704225
Jeff Green;3;28,2;11,7;0,414893617
Julius Randle;4;28,2;11,3;0,40070922
Jrue Holiday;1;28,2;16,8;0,595744681
D'Angelo Russell;1;28,2;13,2;0,468085106
Kobe Bryant;3;28,2;17,6;0,624113475
Jose Calderon;1;28,1;7,6;0,270462633
Evan Turner;2;28;10,5;0,375
Hollis Thompson;2;28;9,8;0,35
Zach LaVine;1;28;14;0,5
JJ Redick;2;28;16,3;0,582142857
Kent Bazemore;3;27,8;11,6;0,417266187
Tristan Thompson;5;27,7;7,8;0,281588448
Devin Booker;2;27,7;13,8;0,498194946
Dion Waiters;2;27,6;9,8;0,355072464
Tony Parker;1;27,5;11,9;0,432727273
Raymond Felton;1;27,4;9,5;0,346715328
Marcus Smart;1;27,3;9,1;0,333333333
Omri Casspi;3;27,3;11,8;0,432234432
Robin Lopez;5;27,1;10,3;0,380073801
Gorgui Dieng;5;27,1;10,1;0,372693727
Jamal Crawford;2;26,9;14,2;0,527881041
Jerami Grant;3;26,8;9,7;0,361940299
Bojan Bogdanovic;2;26,8;11,2;0,417910448
Andre Iguodala;3;26,6;7;0,263157895
Taj Gibson;4;26,5;8,6;0,324528302
Zaza Pachulia;5;26,4;8,6;0,325757576
Jeremy Lin;1;26,3;11,7;0,44486692
Danny Green;2;26,1;7,2;0,275862069
Allen Crabbe;2;26;10,3;0,396153846
Jonas Valanciunas;5;25,9;12,8;0,494208494
Jared Dudley;3;25,9;7,9;0,305019305
Ian Mahinmi;5;25,6;9,3;0,36328125
Patrick Patterson;4;25,6;6,9;0,26953125
Cory Joseph;1;25,6;8,5;0,33203125
Markieff Morris;4;25,5;12;0,470588235
Isaiah Canaan;1;25,5;11;0,431372549
Mason Plumlee;4;25,4;9,1;0,358267717
Ersan Ilyasova;4;25,4;10,4;0,409448819
Kenneth Faried;4;25,3;12,5;0,494071146
Tony Allen;2;25,3;8,4;0,33201581
Tim Duncan;5;25,2;8,6;0,341269841
Steven Adams;5;25,2;8;0,317460317
Nikola Mirotic;4;24,9;11,8;0,473895582
Langston Galloway;2;24,8;7,6;0,306451613
Nik Stauskas;2;24,8;8,5;0,342741935
Dante Cunningham;4;24,6;6,1;0,24796748
Matthew Dellavedova;1;24,6;7,5;0,304878049
Marco Belinelli;2;24,6;10,2;0,414634146
Tyson Chandler;5;24,5;7,2;0,293877551
Garrett Temple;2;24,4;7,3;0,299180328
Cody Zeller;4;24,3;8,7;0,358024691
Aaron Gordon;4;23,9;9,2;0,384937238
Terrence Ross;3;23,9;9,9;0,414225941
Jared Sullinger;5;23,6;10,3;0,436440678
Thabo Sefolosha;3;23,4;6,4;0,273504274
Alex Len;5;23,3;9;0,386266094
Roy Hibbert;5;23,2;5,9;0,254310345
Stanley Johnson;3;23,1;8,1;0,350649351
Doug McDermott;3;23;9,4;0,408695652
CJ Miles;3;22,9;11,8;0,515283843
Myles Turner;5;22,8;10,3;0,451754386
Amir Johnson;4;22,8;7,3;0,320175439
Gerald Green;3;22,6;8,9;0,39380531
Mario Chalmers;1;22,5;10,3;0,457777778
Jose Juan Barea;1;22,5;10,9;0,484444444
Shane Larkin;1;22,4;7,3;0,325892857
Alonzo Gee;2;22,4;4,5;0,200892857
Lance Thomas;3;22,3;8,2;0,367713004
Andre Roberson;2;22,2;4,8;0,216216216
Bismack Biyombo;5;22;5,5;0,25
Rodney Stuckey;1;22;8,9;0,404545455
Meyers Leonard;4;21,8;8,4;0,385321101
Austin Rivers;1;21,8;8,9;0,408256881
Darrell Arthur;4;21,7;7,5;0,34562212
Nikola Jokic;5;21,7;10;0,460829493
Donald Sloan;1;21,6;7;0,324074074
Luis Scola;4;21,5;8,7;0,404651163
Willie Cauley-Stein;5;21,4;7;0,327102804
E'Twaun Moore;2;21,4;7,5;0,35046729
Ty Lawson;1;21,4;5,7;0,26635514
Mirza Teletovic;4;21,3;12,2;0,572769953
Trey Burke;1;21,3;10,6;0,497652582
Wayne Ellington;2;21,3;7,7;0,361502347
Ben McLemore;2;21,2;7,8;0,367924528
Frank Kaminsky;5;21,1;7,5;0,355450237
Enes Kanter;5;21;12,7;0,604761905
Ed Davis;4;20,8;6,5;0,3125
Wesley Johnson;3;20,8;6,9;0,331730769
Andrew Bogut;5;20,7;5,4;0,260869565
Jordan Hill;4;20,7;8,8;0,425120773
Trevor Booker;4;20,7;5,9;0,285024155
Toney Douglas;1;20,7;8,7;0,420289855
Patty Mills;1;20,5;8,5;0,414634146
Shabazz Muhammad;3;20,5;10,5;0,512195122
Corey Brewer;3;20,4;7,2;0,352941176
Brandon Bass;4;20,3;7,2;0,354679803
Randy Foye;2;20,3;5,9;0,290640394
Tony Snell;3;20,3;5,3;0,261083744
Dennis Schroder;1;20,3;11;0,541871921
Ramon Sessions;1;20,3;9,9;0,487684729
Kelly Olynyk;5;20,2;10;0,495049505
Lavoy Allen;4;20,2;5,4;0,267326733
Larry Nance Jr.;4;20,1;5,5;0,273631841
Devin Harris;1;20;7,6;0,38
Gerald Henderson;2;19,9;8,7;0,43718593
PJ Hairston;3;19,9;6,2;0,311557789
Lance Stephenson;2;19,9;8,3;0,417085427
TJ McConnell;1;19,8;6,1;0,308080808
Manu Ginobili;2;19,6;9,6;0,489795918
Shaun Livingston;1;19,5;6,3;0,323076923
Ronnie Price;1;19,5;5,3;0,271794872
Clint Capela;5;19,1;7;0,366492147
Kosta Koufos;5;19;6,8;0,357894737
Tayshaun Prince;3;19;2,9;0,152631579
D.J. Augustin;1;19;7,5;0,394736842
Jon Leuer;4;18,7;8,5;0,454545455
Maurice Harkless;3;18,7;6,4;0,342245989
Jeremy Lamb;2;18,6;8,8;0,47311828
Anthony Tolliver;4;18,6;5,3;0,284946237
JaMychal Green;4;18,5;7,4;0,4
Raul Neto;1;18,5;5,9;0,318918919
Boris Diaw;5;18,2;6,4;0,351648352
Marcus Thornton;3;18,2;9,7;0,532967033
Paul Pierce;3;18,1;6,1;0,337016575
David West;4;18;7,1;0,394444444
Nemanja Bjelica;4;17,9;5,1;0,284916201
Mario Hezonja;2;17,9;6,1;0,340782123
Richard Jefferson;3;17,9;5,5;0,30726257
Derrick Williams;4;17,9;9,3;0,519553073
Bobby Portis;4;17,8;7;0,393258427
Joffrey Lauvergne;5;17,6;7,9;0,448863636
Jason Terry;2;17,5;5,9;0,337142857
Timofey Mozgov;5;17,4;6,3;0,362068966
Omer Asik;5;17,3;4;0,231213873
Trey Lyles;4;17,3;6,1;0,352601156
Channing Frye;4;17,1;6,1;0,356725146
Luc Mbah a Moute;4;17;3,1;0,182352941
Steve Blake;1;17;4,4;0,258823529
Vince Carter;2;16,8;6,6;0,392857143
Jerian Grant;1;16,6;5,6;0,337349398
Aaron Brooks;1;16,1;7,1;0,440993789
Kyle Anderson;2;16;4,5;0,28125
JaKarr Sampson;2;15,9;5,1;0,320754717
Leandro Barbosa;2;15,9;6,4;0,402515723
Markel Brown;2;15,8;5,9;0,373417722
Jason Smith;4;15,5;7,2;0,464516129
Mike Scott;4;15,3;6,2;0,405228758
Joe Ingles;3;15,3;4,2;0,274509804
Aron Baynes;4;15,2;6,3;0,414473684
Jonas Jerebko;4;15,1;4,4;0,291390728
Noah Vonleh;4;15;3,6;0,24
Sasha Vujacic;2;14,9;4,9;0,32885906
Quincy Acy;3;14,8;5,2;0,351351351
Solomon Hill;3;14,7;4,2;0,285714286
Alexis Ajinca;5;14,6;6;0,410958904
Brandon Rush;2;14,6;4,2;0,287671233
Dwight Powell;4;14,4;5,8;0,402777778
Kyle Singler;3;14,4;3,4;0,236111111
Miles Plumlee;5;14,3;5,1;0,356643357
Rashad Vaughn;2;14,3;3,1;0,216783217
Chase Budinger;3;14,1;4,1;0,290780142
Pablo Prigioni;1;13,9;2,5;0,179856115
Anthony Morrow;2;13,6;5,6;0,411764706
Cole Aldrich;5;13,3;5,5;0,413533835
Johnny O'Bryant;4;13;3;0,230769231
Thomas Robinson;4;12,9;4,3;0,333333333
Dewayne Dedmon;5;12,2;4,4;0,360655738
Chris Johnson;3;12,2;2,9;0,237704918
